"BehaviorSpace results (NetLogo 6.1.1)"
"wasps.nlogo"
"experiment-1"
"10/28/2019 20:47:27:655 +1300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","208","0","325"
"[run number]","r-mean","r-sd","lambda-1","p-ldd","use-seed?","seed","scenario","number-of-sites","wasps-per-site","percentile-selector","init-sd-occ","homogenous?","show-pop","track-monitoring-area?","base-prop-gm","release-prop-gm","show-pop?","periodicity","init-mean-occ","[step]","total-pop","prop-occupied"
"128","2","0","0.5","0.001","true","8","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"106","2","0","0.5","3.0E-4","true","16","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12279666","0.9895991512907453"
"109","2","0","0.5","3.0E-4","true","19","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12272173","0.9894743411062342"
"110","2","0","0.5","3.0E-4","true","20","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12275474","0.9894535394088158"
"111","2","0","0.5","3.0E-4","true","21","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12272551","0.9897031597778378"
"116","2","0","0.5","3.0E-4","true","26","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12273680","0.9894951428036528"
"134","2","0","0.5","0.001","true","14","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"118","2","0","0.5","3.0E-4","true","28","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12276425","0.9895367461984897"
"114","2","0","0.5","3.0E-4","true","24","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12274726","0.9893495309217232"
"137","2","0","0.5","0.001","true","17","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"113","2","0","0.5","3.0E-4","true","23","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12275354","0.9899319784494415"
"120","2","0","0.5","3.0E-4","true","30","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12279990","0.9897447631726749"
"115","2","0","0.5","3.0E-4","true","25","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12273823","0.990119193726208"
"122","2","0","0.5","0.001","true","2","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12267539","0.990077590331371"
"142","2","0","0.5","0.001","true","22","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"121","2","0","0.5","0.001","true","1","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12275150","0.9897239614752564"
"124","2","0","0.5","0.001","true","4","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12273116","0.9898487716597675"
"131","2","0","0.5","0.001","true","11","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12269976","0.9893911343165602"
"125","2","0","0.5","0.001","true","5","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12267101","0.9896615563830009"
"147","2","0","0.5","0.001","true","27","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","2","0","2.080169741850935E-5"
"127","2","0","0.5","0.001","true","7","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12270857","0.9895367461984897"
"149","2","0","0.5","0.001","true","29","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"130","2","0","0.5","0.001","true","10","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12269537","0.9897239614752564"
"129","2","0","0.5","0.001","true","9","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12271221","0.9896823580804194"
"135","2","0","0.5","0.001","true","15","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12265615","0.9904104174900672"
"153","2","0","1","0","true","3","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","2","0","2.080169741850935E-5"
"132","2","0","0.5","0.001","true","12","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12270067","0.9896823580804194"
"133","2","0","0.5","0.001","true","13","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12277929","0.9900567886339525"
"136","2","0","0.5","0.001","true","16","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12274431","0.989911176752023"
"138","2","0","0.5","0.001","true","18","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12278699","0.9897655648700934"
"158","2","0","1","0","true","8","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"159","2","0","1","0","true","9","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","2","0","4.16033948370187E-5"
"139","2","0","0.5","0.001","true","19","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12277508","0.9903272107003932"
"161","2","0","1","0","true","11","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","3101204","0.49239697959353484"
"141","2","0","0.5","0.001","true","21","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12278173","0.9895783495933268"
"155","2","0","1","0","true","5","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","4365836","0.2819046034156387"
"164","2","0","1","0","true","14","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"140","2","0","0.5","0.001","true","20","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12273884","0.989994383541697"
"154","2","0","1","0","true","4","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","6175198","0.44846379464564307"
"167","2","0","1","0","true","17","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"151","2","0","1","0","true","1","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","8888880","0.6257358600461798"
"152","2","0","1","0","true","2","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","8911898","0.7073825224138289"
"160","2","0","1","0","true","10","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","6570701","0.609448130967487"
"156","2","0","1","0","true","6","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","7572253","0.5981944126640734"
"172","2","0","1","0","true","22","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"165","2","0","1","0","true","15","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","3247003","0.47750296424188216"
"168","2","0","1","0","true","18","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","3154986","0.4207143302893516"
"157","2","0","1","0","true","7","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","7528036","0.5286959415888336"
"163","2","0","1","0","true","13","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","4151914","0.4264555987768602"
"177","2","0","1","0","true","27","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","2","0","2.080169741850935E-5"
"170","2","0","1","0","true","20","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","2321761","0.43454745907266035"
"179","2","0","1","0","true","29","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"169","2","0","1","0","true","19","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","6052836","0.6679217024109168"
"144","2","0","0.5","0.001","true","24","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12275333","0.989869573357186"
"143","2","0","0.5","0.001","true","23","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12274266","0.989869573357186"
"183","2","0","1","1.0E-5","true","3","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","2","0","2.080169741850935E-5"
"166","2","0","1","0","true","16","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","8502116","0.7715141555550933"
"180","2","0","1","0","true","30","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","3128629","0.4037193434984295"
"174","2","0","1","0","true","24","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","3948500","0.4589062467497348"
"175","2","0","1","0","true","25","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","5218513","0.49127368793293535"
"188","2","0","1","1.0E-5","true","8","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"189","2","0","1","1.0E-5","true","9","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","2","0","4.16033948370187E-5"
"178","2","0","1","0","true","28","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","4533448","0.47350903833752833"
"146","2","0","0.5","0.001","true","26","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12274268","0.990035986936534"
"145","2","0","0.5","0.001","true","25","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12270627","0.9894327377113973"
"162","2","0","1","0","true","12","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","9226597","0.6936117987227758"
"194","2","0","1","1.0E-5","true","14","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"150","2","0","0.5","0.001","true","30","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12270529","0.9897031597778378"
"173","2","0","1","0","true","23","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","7303311","0.6553782788675556"
"197","2","0","1","1.0E-5","true","17","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
